sector,week_end_date,weekly_avg_close,revenue_ttm,eps_ttm,fcf_ttm,net_income_ttm,rev_qoq,rev_yoy,eps_qoq,eps_yoy,market_cap,pe_ttm,ps_ttm,fcf_yield_ttm,ret_1w,ret_4w,ret_12w,sma_4w,sma_12w,sma_24w,price_vs_sma_4w,price_vs_sma_12w,price_vs_sma_24w,Gross Margin %,Operating Income %,Net Profit %
Healthcare,2025-06-27,118,6630000000.0,4.06,3130000000.0,1166000000.0,-0.006,0.0637,-0.3243,-0.2857,33547701988.2202,28.9929,5.06,0.0933,0.0141,0.0569,0.0564,116.28,110.2403,121.3806,0.0123,0.0678,-0.0302,0.5282,0.1709,0.1289
Healthcare,2025-07-04,120,6630000000.0,4.06,3130000000.0,1166000000.0,-0.006,0.0637,-0.3243,-0.2857,34149381036.7584,29.5129,5.1507,0.0917,0.0179,0.0582,0.1736,117.9277,111.7173,120.413,0.0161,0.0725,-0.0049,0.5282,0.1709,0.1289
Healthcare,2025-07-11,122,6630000000.0,4.06,3130000000.0,1166000000.0,-0.006,0.0637,-0.3243,-0.2857,34644003089.9048,29.9404,5.2253,0.0903,0.0145,0.0292,0.1808,118.7903,113.2681,119.173,0.0233,0.0732,0.02,0.5282,0.1709,0.1289
Healthcare,2025-07-18,115,6630000000.0,4.06,3130000000.0,1166000000.0,-0.006,0.0637,-0.3243,-0.2857,32811712623.5962,28.3569,4.949,0.0954,-0.0529,-0.0081,0.1086,118.5551,114.2083,117.7482,-0.0289,0.0081,-0.0222,0.5282,0.1709,0.1289
Healthcare,2025-07-25,117,6630000000.0,4.06,3130000000.0,1166000000.0,-0.006,0.0637,-0.3243,-0.2857,33461916709.8999,28.9188,5.047,0.0935,0.0198,-0.0026,0.0977,118.4798,115.0789,116.5408,-0.009,0.0203,0.0075,0.5282,0.1709,0.1289
Healthcare,2025-08-01,117,6790000000.0,4.27,2845000000.0,1220000000.0,0.0419,0.1013,0.5733,0.2165,33320271240.2344,27.3801,4.9073,0.0854,-0.0042,-0.0243,0.0935,117.7525,115.9123,115.6595,-0.0071,0.0086,0.0108,0.515,0.2071,0.1933
Healthcare,2025-08-08,114,6790000000.0,4.27,2845000000.0,1220000000.0,0.0419,0.1013,0.5733,0.2165,32513632003.7842,26.7173,4.7885,0.0875,-0.0242,-0.0615,0.0072,115.8838,115.9804,114.7762,-0.0155,-0.0164,-0.006,0.515,0.2071,0.1933
Healthcare,2025-08-15,118,6790000000.0,4.27,2845000000.0,1220000000.0,0.0419,0.1013,0.5733,0.2165,33551795906.0669,27.5704,4.9414,0.0848,0.0319,0.0226,0.0668,116.533,116.5948,114.2245,0.0102,0.0097,0.0307,0.515,0.2071,0.1933
Healthcare,2025-08-22,119,6790000000.0,4.27,2845000000.0,1220000000.0,0.0419,0.1013,0.5733,0.2165,33912451629.6387,27.8668,4.9945,0.0839,0.0107,0.0135,0.0684,116.9282,117.2293,113.9721,0.0176,0.015,0.044,0.515,0.2071,0.1933
Healthcare,2025-08-29,121,6790000000.0,4.27,2845000000.0,1220000000.0,0.0419,0.1013,0.5733,0.2165,34516010971.0693,28.3627,5.0834,0.0824,0.0178,0.0359,0.0696,117.9771,117.8858,114.0387,0.0265,0.0273,0.062,0.515,0.2071,0.1933
Healthcare,2025-09-05,127,6790000000.0,4.27,2845000000.0,1220000000.0,0.0419,0.1013,0.5733,0.2165,36098286952.9724,29.6629,5.3164,0.0788,0.0458,0.1103,0.0724,121.1215,118.5985,114.2741,0.0457,0.068,0.1084,0.515,0.2071,0.1933
Healthcare,2025-09-12,125,6790000000.0,4.27,2845000000.0,1220000000.0,0.0419,0.1013,0.5733,0.2165,35751000823.9746,29.3775,5.2652,0.0796,-0.0096,0.0655,0.0808,123.0507,119.3796,114.5482,0.0194,0.0508,0.0951,0.515,0.2071,0.1933
Healthcare,2025-09-19,126,6790000000.0,4.27,2845000000.0,1220000000.0,0.0419,0.1013,0.5733,0.2165,36035998214.7217,29.6117,5.3072,0.0789,0.008,0.0626,0.0742,124.9134,120.1072,115.1737,0.0122,0.0527,0.0978,0.515,0.2071,0.1933
Healthcare,2025-09-26,124,6790000000.0,4.27,2845000000.0,1220000000.0,0.0419,0.1013,0.5733,0.2165,35378967453.0029,29.0718,5.2105,0.0804,-0.0182,0.025,0.036,125.6704,120.4667,116.092,-0.0122,0.0305,0.0693,0.515,0.2071,0.1933
Healthcare,2025-10-03,134,6790000000.0,4.27,2845000000.0,1220000000.0,0.0419,0.1013,0.5733,0.2165,38234004180.9082,31.4179,5.6309,0.0744,0.0807,0.0592,0.1036,127.5438,121.5164,117.3922,0.0518,0.104,0.1428,0.515,0.2071,0.1933
Healthcare,2025-10-10,140,6790000000.0,4.27,2845000000.0,1220000000.0,0.0419,0.1013,0.5733,0.2165,39769469512.9394,32.6796,5.8571,0.0715,0.0402,0.1124,0.2121,131.0688,123.5508,118.8796,0.0646,0.1294,0.1738,0.515,0.2071,0.1933
Healthcare,2025-10-17,140,6790000000.0,4.27,2845000000.0,1220000000.0,0.0419,0.1013,0.5733,0.2165,39839579269.4092,32.7372,5.8674,0.0714,0.0018,0.1055,0.1906,134.4053,125.4156,120.2473,0.04,0.1146,0.1625,0.515,0.2071,0.1933
